03:02:07.489194 IP 172.16.167.139 > 171.16.167.136: ICMP echo request, id 4908, seq 0, length 8
03:02:07.489217 IP 172.16.167.139.48174 > 171.16.167.136.https: Flags [S], seq 3423494743, win 1024, options [mss 1460], length 0
03:02:07.489235 IP 172.16.167.139.48174 > 171.16.167.136.http: Flags [.], ack 3423494743, win 1024, length 0
03:02:07.489237 IP 172.16.167.139 > 171.16.167.136: ICMP time stamp query id 81 seq 0, length 20
03:02:07.489665 ARP, Request who-has 172.16.167.139 tell 172.16.167.2, length 46
03:02:07.489813 ARP, Reply 172.16.167.139 is-at 00:0c:29:19:45:3c (oui Unknown), length 46
03:02:07.489904 IP 171.16.167.136.http > 172.16.167.139.48174: Flags [R], seq 3423494743, win 32767, length 0
03:02:08.490947 IP 172.16.167.139.43443 > 172.16.167.2.domain: 58388+ PTR? 136.167.16.171.in-addr.arpa. (45)
03:02:08.495213 IP 172.16.167.2.domain > 172.16.167.139.43443: 58388 NXDomain*- 0/0/0 (45)
03:02:08.496271 IP 172.16.167.139.48430 > 171.16.167.136.submission: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:08.496372 IP 172.16.167.139.48430 > 171.16.167.136.smtp: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:08.496567 IP 172.16.167.139.48430 > 171.16.167.136.smux: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:08.496635 IP 172.16.167.139.48430 > 171.16.167.136.microsoft-ds: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:08.496694 IP 172.16.167.139.48430 > 171.16.167.136.imaps: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:08.496728 IP 172.16.167.139.48430 > 171.16.167.136.auth: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:08.496761 IP 172.16.167.139.48430 > 171.16.167.136.1025: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:08.496795 IP 172.16.167.139.48430 > 171.16.167.136.domain: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:08.496827 IP 172.16.167.139.48430 > 171.16.167.136.rtsp: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:08.496861 IP 172.16.167.139.48430 > 171.16.167.136.mysql: Flags [S], seq 2039246345, win 1024, options [mss 1460], length 0
03:02:09.598802 IP 172.16.167.139.48431 > 171.16.167.136.mysql: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.598949 IP 172.16.167.139.48431 > 171.16.167.136.rtsp: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.599038 IP 172.16.167.139.48431 > 171.16.167.136.domain: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
03:02:09.599099 IP 172.16.167.139.48431 > 171.16.167.136.1025: Flags [S], seq 2039311880, win 1024, options [mss 1460], length 0
