17:54:11.734536 ARP, Request who-has 192.168.10.133 (Broadcast) tell 192.168.10.134, length 46
17:54:11.734781 ARP, Reply 192.168.10.133 is-at 00:0c:29:c5:fb:e2 (oui Unknown), length 46
17:54:11.936132 IP 192.168.10.134.56282 > 192.168.10.2.domain: 60827+ PTR? 133.10.168.192.in-addr.arpa. (45)
17:54:11.937951 IP 192.168.10.2.domain > 192.168.10.134.56282: 60827 NXDomain 0/1/0 (95)
17:54:11.939360 IP 192.168.10.134.61339 > 192.168.10.133.1723: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.939384 IP 192.168.10.134.61339 > 192.168.10.133.submission: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.939678 IP 192.168.10.134.61339 > 192.168.10.133.microsoft-ds: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.939791 IP 192.168.10.134.61339 > 192.168.10.133.smux: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.939863 IP 192.168.10.134.61339 > 192.168.10.133.3389: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.939928 IP 192.168.10.134.61339 > 192.168.10.133.pop3s: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.939966 IP 192.168.10.134.61339 > 192.168.10.133.8888: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.940003 IP 192.168.10.134.61339 > 192.168.10.133.imaps: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.940039 IP 192.168.10.134.61339 > 192.168.10.133.netbios-ssn: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.940078 IP 192.168.10.134.61339 > 192.168.10.133.domain: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:11.940140 IP 192.168.10.133.1723 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:11.940508 IP 192.168.10.133.microsoft-ds > 192.168.10.134.61339: Flags [S.], seq 184268964, ack 828652959, win 64240, options [mss 1460], length 0
17:54:11.940598 IP 192.168.10.133.smux > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:11.940665 IP 192.168.10.133.3389 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:11.940737 IP 192.168.10.133.pop3s > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:11.940801 IP 192.168.10.133.8888 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:11.940861 IP 192.168.10.134.61339 > 192.168.10.133.microsoft-ds: Flags [R], seq 828652959, win 0, length 0
17:54:11.940957 IP 192.168.10.133.imaps > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:11.941028 IP 192.168.10.133.netbios-ssn > 192.168.10.134.61339: Flags [S.], seq 184323963, ack 828652959, win 64240, options [mss 1460], length 0
17:54:11.941185 IP 192.168.10.133.domain > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:11.941276 IP 192.168.10.133.submission > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:11.941347 IP 192.168.10.134.61339 > 192.168.10.133.netbios-ssn: Flags [R], seq 828652959, win 0, length 0
17:54:13.042312 IP 192.168.10.134.61340 > 192.168.10.133.domain: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.042441 IP 192.168.10.134.61340 > 192.168.10.133.netbios-ssn: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.042543 IP 192.168.10.134.61340 > 192.168.10.133.imaps: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.042612 IP 192.168.10.134.61340 > 192.168.10.133.8888: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.042678 IP 192.168.10.134.61340 > 192.168.10.133.pop3s: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.042769 IP 192.168.10.134.61340 > 192.168.10.133.3389: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.042846 IP 192.168.10.134.61340 > 192.168.10.133.smux: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.042923 IP 192.168.10.134.61340 > 192.168.10.133.microsoft-ds: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.042988 IP 192.168.10.134.61340 > 192.168.10.133.submission: Flags [S], seq 828718495, win 1024, options [mss 1460], length 0
17:54:13.043058 IP 192.168.10.134.61339 > 192.168.10.133.ftp: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043122 IP 192.168.10.134.61339 > 192.168.10.133.http-alt: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043187 IP 192.168.10.134.61339 > 192.168.10.133.sunrpc: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043251 IP 192.168.10.134.61339 > 192.168.10.133.256: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043327 IP 192.168.10.134.61339 > 192.168.10.133.5900: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043424 IP 192.168.10.134.61339 > 192.168.10.133.smtp: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043494 IP 192.168.10.134.61339 > 192.168.10.133.1720: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043569 IP 192.168.10.134.61339 > 192.168.10.133.https: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043608 IP 192.168.10.134.61339 > 192.168.10.133.ssh: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043651 IP 192.168.10.134.61339 > 192.168.10.133.rtsp: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043698 IP 192.168.10.134.61339 > 192.168.10.133.mysql: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043736 IP 192.168.10.134.61339 > 192.168.10.133.1025: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:13.043811 IP 192.168.10.133.domain > 192.168.10.134.61340: Flags [R.], seq 0, ack 828718496, win 0, length 0
17:54:13.043883 IP 192.168.10.133.netbios-ssn > 192.168.10.134.61340: Flags [S.], seq 184625949, ack 828718496, win 64240, options [mss 1460], length 0
17:54:13.043922 IP 192.168.10.133.imaps > 192.168.10.134.61340: Flags [R.], seq 0, ack 828718496, win 0, length 0
17:54:13.043959 IP 192.168.10.133.8888 > 192.168.10.134.61340: Flags [R.], seq 0, ack 828718496, win 0, length 0
17:54:13.044023 IP 192.168.10.133.pop3s > 192.168.10.134.61340: Flags [R.], seq 0, ack 828718496, win 0, length 0
17:54:13.044089 IP 192.168.10.133.3389 > 192.168.10.134.61340: Flags [R.], seq 0, ack 828718496, win 0, length 0
17:54:13.044130 IP 192.168.10.133.smux > 192.168.10.134.61340: Flags [R.], seq 0, ack 828718496, win 0, length 0
17:54:13.044195 IP 192.168.10.133.microsoft-ds > 192.168.10.134.61340: Flags [S.], seq 184683569, ack 828718496, win 64240, options [mss 1460], length 0
17:54:13.044260 IP 192.168.10.133.submission > 192.168.10.134.61340: Flags [R.], seq 0, ack 828718496, win 0, length 0
17:54:13.044352 IP 192.168.10.133.ftp > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.044422 IP 192.168.10.133.http-alt > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.044488 IP 192.168.10.133.sunrpc > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.044552 IP 192.168.10.133.256 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.044617 IP 192.168.10.133.5900 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.044659 IP 192.168.10.133.smtp > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
17:54:13.044738 IP 192.168.10.133.1720 > 192.168.10.134.61339: Flags [R.], seq 0, ack 828652959, win 0, length 0
